POSTNR_TXT,POSTBYNAVN,areal_reel
4621,Gadstrup,28.5433907
4622,Havdrup,21.3382343
3150,Hellebk,7.91393350
7620,Lemvig,306.001142
4540,Frevejle,43.7902902
2830,Virum,10.3194150
3390,Hundested,31.7771547
5400,Bogense,102.689935
7140,Stouby,48.1107390
8721,Daugrd,21.3810466
8723,Lsning,46.1690077
8722,Hedensted,52.1926346
5540,Ullerslev,62.1771556
8500,Grenaa,194.440433
4262,Sandved,39.7591954
9240,Nibe,299.980867
2450,Kbenhavn SV,7.24919130
9530,Stvring,95.9173371
6534,Agerskov,58.5279256
6535,Branderup J,33.9792856
6920,Videbk,179.751127
9870,Sindal,176.239581
4340,Tllse,69.9950811
4944,Fej,17.041671
2880,Bagsvrd,9.45297693
4941,Bandholm,25.3603968
4943,Torrig L,26.7616454
4534,Hrve,42.5050966
7490,Aulum,106.561424
6280,Hjer,119.495735
4532,Gislinge,24.0095513
7980,Vils,20.1116751
6040,Egtved,123.941622
9400,Nrresundby,43.8343359
6360,Tinglev,146.744726
8592,Anholt,21.8781955
3080,Tikb,19.6963528
2620,Albertslund,21.1573692
9330,Dronninglund,180.442976
8370,Hadsten,136.942326
2625,Vallensbk,5.52749456
5892,Gudbjerg Sydfyn,35.8041244
8570,Trustrup,58.7660966
3520,Farum,19.3636481
9620,Aalestrup,115.646759
8471,Sabro,48.7934896
8472,Sporup,31.9476979
6400,Snderborg,124.520451
7560,Hjerm,33.7982356
4593,Eskebjerg,43.8637425
7760,Hurup Thy,98.6055590
2750,Ballerup,21.3435209
7400,Herning,410.454013
2690,Karlslunde,17.7238960
6818,rre,106.743012
4660,Store Heddinge,92.2222892
4760,Vordingborg,106.653866
6740,Bramming,131.066078
5210,Odense NV,21.6980033
9750,stervr,77.5243305
6622,Bkke,54.1222815
6623,Vorbasse,92.5005139
6621,Gesten,28.6186191
3230,Grsted,92.9625603
7321,Gadbjerg,43.7840957
4160,Herlufmagle,80.9118062
4000,Roskilde,172.646512
6705,Esbjerg,47.1049604
8920,Randers NV,137.336184
8840,Rdkrsbro,47.4021967
5800,Nyborg,81.4136898
2870,Dyssegrd,1.19483324
7100,Vejle,204.755278
7660,Bkmarksbro,77.9496091
2970,Hrsholm,37.6607380
6862,Tistrup,46.0072745
5935,Bagenkop,21.8032768
5932,Humble,60.7967372
8752,stbirk,56.1660540
6960,Hvide Sande,38.2698791
4300,Holbk,132.347871
8250,Eg,13.7092614
8620,Kjellerup,190.484283
3490,Kvistgrd,19.7759196
4571,Grevinge,40.6016092
4572,Nrre Asmindrup,14.2750870
4573,Hjby,30.9561008
8783,Hornsyld,37.6857657
4470,Sveblle,42.9787616
8781,Stenderup,20.8428145
3650,lstykke,27.7471703
5500,Middelfart,72.7126819
6000,Kolding,133.112537
4900,Nakskov,175.800848
3120,Dronningmlle,9.28738877
4673,Rdvig Stevns,25.6509167
4672,Klippinge,31.8482975
4671,Strby,15.7020021
8653,Them,80.6620843
7190,Billund,77.3607190
8654,Bryrup,58.3740437
9270,Klarup,18.4127024
4880,Nysted,52.2332465
9370,Hals,106.955979
2700,Brnshj,7.95545710
3400,Hillerd,110.839412
7960,Karby,34.4030202
5750,Ringe,165.563392
6440,Augustenborg,53.1078665
8530,Hjortshj,38.2999286
9982,lbk,76.7520207
9981,Jerup,36.5860647
7441,Bording,127.984568
4874,Gedser,38.2530708
7442,Engesvang,86.8587124
4871,Horbelev,38.5594741
4873,Vggerlse,44.6448137
4872,Idestrup,22.3447518
5610,Assens,103.506424
4400,Kalundborg,182.778862
6560,Sommersted,72.3298178
4190,Munke Bjergby,25.6468384
6310,Broager,39.8052744
9575,Terndrup,35.2589595
9574,Blum,40.3365257
2791,Dragr,27.3437315
4970,Rdby,135.671017
5390,Martofte,30.8730282
8444,Balle,33.0353223
6700,Esbjerg,14.3207068
9300,Sby,158.195761
8320,Mrslet,22.2545781
4281,Grlev,61.3797614
7361,Ejstrupholm,131.392001
7362,Hampen,58.0312517
8881,Thors,38.8944175
8882,Frvang,37.9730205
8883,Gjern,29.2331729
2665,Vallensbk Strand,3.12310297
7430,Ikast,117.705048
2660,Brndby Strand,5.01937785
4490,Jerslev Sjlland,35.0031829
8963,Auning,76.9286196
8961,Allingbro,90.1450251
8960,Randers S,104.877801
8541,Skdstrup,29.5153336
5683,Haarby,76.3295043
6823,Ansager,84.1862349
2930,Klampenborg,7.02028059
6670,Holsted,68.1023040
5320,Agedrup,9.74931716
9000,Aalborg,47.7866585
3310,lsted,21.4089378
5485,Skamby,19.3181475
4050,Skibby,87.7350686
4750,Lundby,88.1366314
6771,Gredstedbro,54.5274361
5871,Frrup,36.2519384
5874,Hesselager,44.4058118
5970,rskbing,54.6967612
5462,Morud,32.6823261
3751,stermarie,47.8368680
8210,Aarhus V,7.96827104
8740,Brdstrup,162.473018
7650,Bvlingbjerg,40.0382801
4632,Bjverskov,25.4075555
3000,Helsingr,27.0635605
7790,Thyholm,75.1048196
2800,Kongens Lyngby,27.1639687
2200,Kbenhavn N,3.84639632
5772,Kvrndrup,39.0308533
3360,Liseleje,8.57830268
7150,Barrit,28.9444235
6682,Hovborg,35.5276739
6683,Fvling,39.5635180
4270,Hng,60.3132431
9500,Hobro,339.714369
6320,Egernsund,3.29725749
4440,Mrkv,84.9341418
4862,Guldborg,37.4578341
7480,Vildbjerg,124.569061
6950,Ringkbing,207.126992
4370,Store Merlse,38.7079151
8260,Viby J,26.4465442
7840,Hjslev,110.071343
4930,Maribo,129.362996
4684,Holmegaard,65.6774859
4682,Tureby,50.2214198
4683,Rnnede,39.3403632
4681,Herflge,23.6537162
4520,Svinninge,43.8116073
8660,Skanderborg,245.827277
7990,ster Assels,47.3166317
8581,Nimtofte,46.6679224
2100,Kbenhavn,8.64928124
6051,Almind,20.6744950
9430,Vadum,48.8275062
6052,Viuf,20.4728889
8361,Hasselager,16.9843341
8220,Brabrand,23.4437115
8362,Hrning,35.7066546
2730,Herlev,12.5093391
9610,Nrager,119.137231
2635,Ishj,24.7672186
2630,Taastrup,39.7192777
5290,Marslev,20.4434588
5240,Odense N,17.3643137
5883,Oure,14.1286507
5882,Vejstrup,17.0003465
5881,Skrup Fyn,27.9223867
5884,Gudme,14.4065346
8400,Ebeltoft,158.116722
9220,Aalborg st,31.7981917
7570,Vemb,117.111013
5642,Millinge,19.4371456
9230,Svenstrup J,78.5839764
7200,Grindsted,252.184018
4592,Sejer,12.5079975
2740,Skovlunde,6.98572577
4591,Fllenslev,25.8933793
7770,Vestervig,70.5873239
7470,Karup J,199.319023
8270,Hjbjerg,18.6814586
4840,Nrre Alslev,110.136836
6340,Krus,58.0976524
6731,Tjreborg,34.8014998
